confronto,competicao,horario_brt,casa,odd_1,odd_x,odd_2,justo_1,justo_x,justo_2,linha_total_gols,odd_total_gols_0,odd_total_gols_1,odd_total_gols_2,justo_total_gols_0,justo_total_gols_1,justo_total_gols_2,linha_total_gols_1t,odd_total_gols_1t_0,odd_total_gols_1t_1,odd_total_gols_1t_2,justo_total_gols_1t_0,justo_total_gols_1t_1,justo_total_gols_1t_2,linha_dupla_chance,odd_dupla_chance_0,odd_dupla_chance_1,odd_dupla_chance_2,justo_dupla_chance_0,justo_dupla_chance_1,justo_dupla_chance_2,linha_dnb,odd_dnb_0,odd_dnb_1,odd_dnb_2,justo_dnb_0,justo_dnb_1,justo_dnb_2,linha_btts,odd_btts_0,odd_btts_1,odd_btts_2,justo_btts_0,justo_btts_1,justo_btts_2
IK Start - Fredrikstad FK,Eliteserien,08/08 13:00,Betano,2.27,3.35,3.0,0.416,0.275,0.309,2.5,1.72,2.05,,0.548,0.452,,1.5,2.57,1.47,,0.349,0.651,,,1.4,1.31,1.65,0.353,0.434,0.213,,1.65,2.15,,0.573,0.427,,,1.57,2.25,,0.600,0.400,
Stabaek IF - FK Lyn,1. divisjon,08/08 11:00,Betano,1.44,4.85,5.7,0.672,0.179,0.150,3.5,1.75,1.95,,0.531,0.469,,1.5,1.9,1.8,,0.485,0.515,,,1.13,1.16,2.8,0.531,0.464,0.005,,1.18,4.25,,0.821,0.179,,,1.45,2.57,,0.657,0.343,
FK Arendal - Pors Grenland,2. divisjon,08/08 10:00,Betano,1.8,3.7,3.8,0.527,0.240,0.233,2.5,1.55,2.15,,0.596,0.404,,1.5,2.25,1.5,,0.382,0.618,,,1.23,1.24,1.95,0.465,0.451,0.084,,1.36,2.67,,0.692,0.308,,,1.52,2.2,,0.608,0.392,
Levanger - Stjordals/Blink,2. divisjon,08/08 11:00,Betano,1.67,3.95,4.2,0.570,0.222,0.208,3.5,2.05,1.62,,0.432,0.568,,1.5,2.07,1.6,,0.425,0.575,,,1.2,1.22,2.15,0.490,0.460,0.050,,1.29,2.95,,0.733,0.267,,,1.45,2.37,,0.642,0.358,
Junkeren - Follo,2. divisjon,08/08 08:00,Betano,1.8,3.85,3.7,0.528,0.231,0.241,3.5,2.07,1.6,,0.425,0.575,,1.5,2.1,1.57,,0.415,0.585,,,1.24,1.22,1.98,0.447,0.475,0.078,,1.37,2.65,,0.687,0.313,,,1.45,2.37,,0.642,0.358,
Eidsvold Turn - Kjelsas,2. divisjon,08/08 09:00,Betano,2.07,3.5,3.1,0.453,0.256,0.292,3.5,1.98,1.65,,0.446,0.554,,1.5,2.05,1.6,,0.427,0.573,,,1.31,1.26,1.7,0.392,0.449,0.159,,1.53,2.18,,0.604,0.396,,,1.36,2.65,,0.691,0.309,
Bjarg - Sotra SK,2. divisjon,08/08 09:00,Betano,2.15,3.35,3.05,0.435,0.268,0.297,2.5,1.62,2.02,,0.565,0.435,,1.5,2.35,1.47,,0.365,0.635,,,1.32,1.28,1.67,0.391,0.433,0.176,,1.57,2.12,,0.588,0.412,,,1.52,2.22,,0.610,0.390,
Kvik Halden - Mjondalen,2. divisjon,08/08 10:00,Betano,2.65,3.4,2.4,0.348,0.265,0.387,3.5,2.2,1.53,,0.394,0.606,,1.5,2.2,1.53,,0.394,0.606,,,1.55,1.27,1.45,0.241,0.460,0.299,,1.9,1.72,,0.471,0.529,,,1.42,2.45,,0.658,0.342,
Notodden FK - Sandviken,2. divisjon,08/08 10:00,Betano,1.6,3.9,4.9,0.598,0.226,0.176,2.5,1.6,2.07,,0.575,0.425,,1.5,2.32,1.47,,0.368,0.632,,,1.16,1.22,2.3,0.536,0.434,0.030,,1.23,3.4,,0.776,0.224,,,1.62,2.02,,0.565,0.435,
Trygg/Lade - Grorud,2. divisjon,08/08 11:00,Betano,5.6,4.75,1.42,0.147,0.176,0.677,3.5,1.93,1.7,,0.463,0.537,,1.5,2.0,1.65,,0.444,0.556,,,2.75,1.16,1.13,0.005,0.464,0.531,,3.9,1.17,,0.180,0.820,,,1.55,2.15,,0.596,0.404,
Hoenefoss BK - Ullensaker/Kisa,2. divisjon,08/08 09:00,Betano,1.32,5.3,7.0,0.733,0.154,0.113,3.5,1.65,1.98,,0.554,0.446,,1.5,1.78,1.82,,0.507,0.493,,,1.09,1.13,2.62,0.560,0.439,0.002,,1.12,4.65,,0.863,0.137,,,1.47,2.32,,0.632,0.368,
Jerv - Vidar,2. divisjon,08/08 10:00,Betano,1.23,6.1,9.0,0.790,0.128,0.082,3.5,1.65,1.98,,0.554,0.446,,1.5,1.78,1.82,,0.507,0.493,,,1.06,1.1,3.05,0.585,0.415,0.000,,1.07,5.6,,0.910,0.090,,,1.6,2.07,,0.575,0.425,
SK Gjøvik-Lyn - Lillehammer FK,3. divisjon,08/08 09:00,Betano,2.77,3.35,2.2,0.322,0.261,0.416,2.5,1.55,2.15,,0.596,0.404,,1.5,2.2,1.47,,0.378,0.622,,,1.53,1.27,1.36,0.226,0.433,0.341,,2.02,1.62,,0.435,0.565,,,,,,,,
Skedsmo - Fauske Sprint,3. divisjon,08/08 06:30,Betano,1.24,5.8,7.5,0.777,0.128,0.095,4.5,1.95,1.67,,0.454,0.546,,1.5,1.6,2.0,,0.567,0.433,,,1.07,1.1,2.95,0.559,0.441,0.000,,1.09,5.2,,0.891,0.109,,,,,,,,
Ullern IF - Gamle Oslo,3. divisjon,08/08 08:00,Betano,3.35,4.1,1.75,0.259,0.206,0.535,4.5,2.02,1.62,,0.435,0.565,,1.5,1.62,1.95,,0.556,0.444,,,1.85,1.2,1.26,0.094,0.496,0.411,,2.55,1.4,,0.329,0.671,,,,,,,,
